event_id,event_time,user_id,dept,role,device_type,source_ip,asset_id,asset_type,data_classification,action,status,bytes_out,records_accessed,latency_ms,risk_score,label,failed_login_count,alert_level
EVT0000001,2026-06-14T21:53:00,U0137,Operations,admin,server,10.10.3.166,cust_db,database,restricted,upload,success,18209,758,95,0,normal,0,MEDIUM
EVT0000002,2026-06-14T21:53:10,U0067,Data Science,intern,server,10.10.13.73,public_web,web,public,read,success,36452,1104,127,1,normal,0,LOW
EVT0000003,2026-06-14T21:53:20,U0121,Sales,admin,laptop,10.10.8.168,cust_db,database,restricted,query,success,196646,2027,143,25,normal,0,MEDIUM
EVT0000004,2026-06-14T21:53:30,U0064,Sales,manager,mobile,10.10.16.173,data_lake,storage,restricted,download,success,53304,888,104,4,normal,0,MEDIUM
EVT0000005,2026-06-14T21:53:40,U0095,Operations,analyst,vpn_gateway,10.10.6.248,crm,saas,confidential,query,success,157538,39384,109,4,normal,0,MEDIUM
EVT0000006,2026-06-14T21:53:50,U0148,Engineering,director,workstation,10.10.8.28,public_web,web,public,read,success,75665,859,108,1,normal,0,LOW
EVT0000007,2026-06-14T21:54:00,U0145,Operations,intern,server,10.10.17.167,cust_db,database,restricted,read,success,36678,582,132,1,normal,0,MEDIUM
EVT0000008,2026-06-14T21:54:10,U0111,Legal,analyst,workstation,10.10.14.47,bi_dashboard,dashboard,internal,query,success,117200,1483,78,8,normal,0,LOW
EVT0000009,2026-06-14T21:54:20,U0124,Operations,manager,workstation,10.10.8.214,ticketing,saas,internal,read,failed,75298,1298,96,3,normal,0,LOW
EVT0000010,2026-06-14T21:54:30,U0119,Engineering,director,workstation,10.10.16.56,public_web,web,public,read,success,35696,811,120,4,normal,0,LOW
EVT0000011,2026-06-14T21:54:40,U0071,Legal,analyst,mobile,10.10.14.127,cust_db,database,restricted,read,success,93451,1050,140,32,normal,0,MEDIUM
EVT0000012,2026-06-14T21:54:50,U0126,Sales,intern,workstation,10.10.8.80,ticketing,saas,internal,download,success,109512,1795,131,8,normal,0,LOW
EVT0000013,2026-06-14T21:55:00,U0136,Sales,director,mobile,10.10.15.71,bi_dashboard,dashboard,internal,read,success,78855,4928,93,3,normal,0,LOW
EVT0000014,2026-06-14T21:55:10,U0081,Sales,intern,workstation,10.10.7.57,payroll,database,confidential,query,success,152924,1644,106,8,normal,0,MEDIUM
EVT0000015,2026-06-14T21:55:20,U0073,Legal,manager,mobile,10.10.10.5,payroll,database,confidential,download,success,66445,1845,147,25,normal,0,MEDIUM
EVT0000016,2026-06-14T21:55:30,U0014,Data Science,analyst,vpn_gateway,10.10.16.28,git_repo,code,internal,query,success,150637,4071,163,7,normal,0,LOW
EVT0000017,2026-06-14T21:55:40,U0123,Engineering,intern,server,10.10.16.31,ticketing,saas,internal,read,success,117251,1861,115,1,normal,0,LOW
EVT0000018,2026-06-14T21:55:50,U0148,Engineering,director,server,10.10.3.65,cust_db,database,restricted,login,success,125736,1612,52,3,normal,0,MEDIUM
EVT0000019,2026-06-14T21:56:00,U0134,Sales,intern,laptop,10.10.14.80,public_web,web,public,read,success,0,0,140,1,normal,0,LOW
EVT0000020,2026-06-14T21:56:10,U0150,Operations,director,server,185.220.101.2,payroll,database,confidential,download,success,2713446,30488,130,100,exfiltration_suspected,0,CRITICAL
EVT0000021,2026-06-14T21:56:20,U0150,Operations,director,workstation,185.220.101.2,payroll,database,confidential,download,success,4875163,60187,74,98,exfiltration_suspected,0,CRITICAL
EVT0000022,2026-06-14T21:56:30,U0150,Operations,director,workstation,185.220.101.2,payroll,database,confidential,download,success,4324525,56162,67,99,exfiltration_suspected,0,CRITICAL
EVT0000023,2026-06-14T21:56:40,U0150,Operations,director,laptop,185.220.101.2,payroll,database,confidential,download,success,2836093,36832,148,95,exfiltration_suspected,0,CRITICAL
EVT0000024,2026-06-14T21:56:50,U0150,Operations,director,workstation,185.220.101.2,payroll,database,confidential,download,success,4207637,56859,123,95,exfiltration_suspected,0,CRITICAL
EVT0000025,2026-06-14T21:57:00,U0150,Operations,director,laptop,185.220.101.2,payroll,database,confidential,download,success,3062447,50204,128,100,exfiltration_suspected,0,CRITICAL
EVT0000026,2026-06-14T21:57:10,U0150,Operations,director,server,185.220.101.2,payroll,database,confidential,download,success,3779076,38562,130,100,exfiltration_suspected,0,CRITICAL
EVT0000027,2026-06-14T21:57:20,U0150,Operations,director,vpn_gateway,185.220.101.2,payroll,database,confidential,download,success,1004827,16747,134,100,exfiltration_suspected,0,CRITICAL
EVT0000028,2026-06-14T21:57:30,U0150,Operations,director,vpn_gateway,185.220.101.2,payroll,database,confidential,download,success,2120115,124712,95,99,exfiltration_suspected,0,CRITICAL
EVT0000029,2026-06-14T21:57:40,U0150,Operations,director,laptop,185.220.101.2,payroll,database,confidential,download,success,3310386,46625,113,100,exfiltration_suspected,0,CRITICAL
EVT0000030,2026-06-14T21:57:50,U0150,Operations,director,workstation,185.220.101.2,payroll,database,confidential,download,success,3090338,46823,102,99,exfiltration_suspected,0,CRITICAL
EVT0000031,2026-06-14T21:58:00,U0150,Operations,director,mobile,185.220.101.2,payroll,database,confidential,download,success,3131716,347968,157,99,exfiltration_suspected,0,CRITICAL
EVT0000032,2026-06-14T21:58:10,U0150,Operations,director,vpn_gateway,185.220.101.2,payroll,database,confidential,download,success,3461795,40727,117,100,exfiltration_suspected,0,CRITICAL
EVT0000033,2026-06-14T21:58:20,U0150,Operations,director,mobile,185.220.101.2,payroll,database,confidential,download,success,2349632,26107,151,98,exfiltration_suspected,0,CRITICAL
EVT0000034,2026-06-14T21:58:30,U0150,Operations,director,server,185.220.101.2,payroll,database,confidential,download,success,2598999,30576,111,97,exfiltration_suspected,0,CRITICAL
EVT0000035,2026-06-14T21:58:40,U0150,Operations,director,vpn_gateway,185.220.101.2,payroll,database,confidential,download,success,1418221,24037,114,95,exfiltration_suspected,0,CRITICAL
EVT0000036,2026-06-14T21:58:50,U0150,Operations,director,laptop,185.220.101.2,payroll,database,confidential,download,success,2667165,62027,117,100,exfiltration_suspected,0,CRITICAL
EVT0000037,2026-06-14T21:59:00,U0150,Operations,director,workstation,185.220.101.2,payroll,database,confidential,download,success,1984697,66156,97,96,exfiltration_suspected,0,CRITICAL
EVT0000038,2026-06-14T21:59:10,U0150,Operations,director,laptop,185.220.101.2,payroll,database,confidential,download,success,1121413,26700,106,95,exfiltration_suspected,0,CRITICAL
EVT0000039,2026-06-14T21:59:20,U0150,Operations,director,mobile,185.220.101.2,payroll,database,confidential,download,success,1712963,155723,149,100,exfiltration_suspected,0,CRITICAL
EVT0000040,2026-06-14T21:59:30,U0062,Legal,analyst,laptop,10.10.9.119,ticketing,saas,internal,upload,success,114596,1909,146,4,normal,0,LOW
EVT0000041,2026-06-14T21:59:40,U0140,Engineering,engineer,workstation,10.10.10.165,crm,saas,confidential,login,failed,219537,3720,89,39,normal,0,MEDIUM
EVT0000042,2026-06-14T21:59:50,U0051,Finance,engineer,workstation,10.10.12.149,public_web,web,public,download,success,118405,39468,138,6,normal,0,LOW
EVT0000043,2026-06-14T22:00:00,U0071,Legal,analyst,server,10.10.2.235,cust_db,database,restricted,read,success,47569,1285,74,28,normal,0,MEDIUM
EVT0000044,2026-06-14T22:00:10,U0091,Sales,intern,laptop,10.10.5.162,data_lake,storage,restricted,query,success,25435,635,88,7,normal,0,MEDIUM
EVT0000045,2026-06-14T22:00:20,U0009,HR,manager,vpn_gateway,10.10.14.46,bi_dashboard,dashboard,internal,query,success,115287,2452,133,8,normal,0,LOW
EVT0000046,2026-06-14T22:00:30,U0129,Data Science,admin,workstation,10.10.16.249,git_repo,code,internal,download,success,75915,5061,175,7,normal,0,LOW
